"protein","ligand","model_id","energy","cx","cy","cz"
"AncB","2_3_BPG",1,-10.4,-0.202666666666667,-0.608666666666667,-0.330666666666667
"AncB","2_3_BPG",2,-11.44,-0.198,-0.684,-0.330666666666667
"AncB","2_3_BPG",3,-10.62,-0.174,-0.654,-0.330666666666667
"AncB","2_3_BPG",4,-11.72,-0.236,-0.666666666666667,-0.330666666666667
"AncB","2_3_BPG",5,-11.28,-0.192,-0.678666666666667,-0.330666666666667
"AncB","2_3_BPG",6,-11.18,-0.178,-0.688,-0.330666666666667
"AncB","2_3_BPG",7,-10.77,-0.204666666666667,-0.633333333333333,-0.330666666666667
"AncB","2_3_BPG",8,-11.16,-0.192666666666667,-0.671333333333333,-0.330666666666667
"AncB","2_3_BPG",9,-11.45,-0.222,-0.66,-0.330666666666667
"AncB","2_3_BPG",10,-9.66,-0.256666666666667,-0.505333333333333,-0.330666666666667
"AncB","2_3_BPG",11,-10.45,-0.302666666666667,-0.512666666666667,-0.330666666666667
"AncB","2_3_BPG",12,-11.84,-0.230666666666667,-0.68,-0.330666666666667
"AncB","2_3_BPG",13,-10.8,-0.202,-0.636666666666667,-0.330666666666667
"AncB","2_3_BPG",14,-11.09,-0.214,-0.645333333333333,-0.330666666666667
"AncB","2_3_BPG",15,-10.6,-0.158666666666667,-0.667333333333333,-0.330666666666667
"AncB","2_3_BPG",16,-11.46,-0.203333333333333,-0.681333333333333,-0.330666666666667
"AncB","2_3_BPG",17,-10.96,-0.206,-0.643333333333333,-0.330666666666667
"AncB","2_3_BPG",18,-10.8,-0.204,-0.638,-0.330666666666667
"AncB","2_3_BPG",19,-10.69,-0.148666666666667,-0.684666666666667,-0.330666666666667
"AncB","2_3_BPG",20,-10.91,-0.187333333333333,-0.66,-0.330666666666667
"AncB","2_3_BPG",21,-9.5,-0.254,-0.496666666666667,-0.330666666666667
"AncB","2_3_BPG",22,-11.75,-0.227333333333333,-0.675333333333333,-0.330666666666667
"AncB","2_3_BPG",23,-11.16,-0.214,-0.650666666666667,-0.330666666666667
"AncB","2_3_BPG",24,-9.7,-0.268666666666667,-0.496666666666667,-0.330666666666667
"AncB","2_3_BPG",25,-11.84,-0.229333333333333,-0.681333333333333,-0.330666666666667
"AncB","2_3_BPG",26,-10.91,-0.202666666666667,-0.646,-0.330666666666667
"AncB","2_3_BPG",27,-9.71,-0.277333333333333,-0.489333333333333,-0.330666666666667
"AncB","2_3_BPG",28,-10.06,-0.298666666666667,-0.491333333333333,-0.330666666666667
"AncB","2_3_BPG",29,-11.51,-0.212666666666667,-0.675333333333333,-0.330666666666667
"AncB","2_3_BPG",30,-10.58,-0.204666666666667,-0.621333333333333,-0.330666666666667
"AncB","2_3_BPG",31,-11.34,-0.218,-0.658,-0.330666666666667
"AncB","2_3_BPG",32,-10.28,-0.174,-0.628666666666667,-0.330666666666667
"AncB","2_3_BPG",33,-11.74,-0.229333333333333,-0.672,-0.330666666666667
"AncB","2_3_BPG",34,-10.05,-0.301333333333333,-0.489333333333333,-0.330666666666667
"AncB","2_3_BPG",35,-10.71,-0.165333333333333,-0.668666666666667,-0.330666666666667
"AncB","2_3_BPG",36,-9.57,-0.282666666666667,-0.475333333333333,-0.330666666666667
"AncB","2_3_BPG",37,-11.38,-0.203333333333333,-0.675333333333333,-0.330666666666667
