protein,ligand,model_id,energy,cx,cy,cz
mut_Y35F,2_3_BPG,1,-8.51,-0.22266666666666668,-0.4633333333333333,-0.33066666666666666
mut_Y35F,2_3_BPG,2,-8.62,-0.25,-0.44266666666666665,-0.33066666666666666
mut_Y35F,2_3_BPG,3,-8.91,-0.29,-0.4206666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,4,-8.72,-0.23733333333333334,-0.464,-0.33066666666666666
mut_Y35F,2_3_BPG,5,-8.8,-0.2793333333333333,-0.428,-0.33066666666666666
mut_Y35F,2_3_BPG,6,-8.89,-0.25733333333333336,-0.45466666666666666,-0.33066666666666666
mut_Y35F,2_3_BPG,7,-9.12,-0.27,-0.458,-0.33066666666666666
mut_Y35F,2_3_BPG,8,-8.76,-0.29,-0.41333333333333333,-0.33066666666666666
mut_Y35F,2_3_BPG,9,-9.24,-0.296,-0.4393333333333333,-0.33066666666666666
mut_Y35F,2_3_BPG,10,-8.51,-0.254,-0.43133333333333335,-0.33066666666666666
mut_Y35F,2_3_BPG,11,-8.8,-0.2593333333333333,-0.44666666666666666,-0.33066666666666666
mut_Y35F,2_3_BPG,12,-9.99,-0.30266666666666664,-0.4826666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,13,-8.75,-0.23666666666666666,-0.4653333333333334,-0.33066666666666666
mut_Y35F,2_3_BPG,14,-8.66,-0.26866666666666666,-0.42933333333333334,-0.33066666666666666
mut_Y35F,2_3_BPG,15,-9.22,-0.2753333333333333,-0.45866666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,16,-9.27,-0.26133333333333336,-0.47933333333333333,-0.33066666666666666
mut_Y35F,2_3_BPG,17,-9.08,-0.25133333333333335,-0.4726666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,18,-9.18,-0.2926666666666667,-0.44066666666666665,-0.33066666666666666
mut_Y35F,2_3_BPG,19,-10.03,-0.30133333333333334,-0.4886666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,20,-8.97,-0.2673333333333333,-0.45066666666666666,-0.33066666666666666
mut_Y35F,2_3_BPG,21,-9.06,-0.258,-0.4666666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,22,-8.36,-0.244,-0.434,-0.33066666666666666
mut_Y35F,2_3_BPG,23,-9.58,-0.2946666666666667,-0.464,-0.33066666666666666
mut_Y35F,2_3_BPG,24,-8.72,-0.25266666666666665,-0.44733333333333336,-0.33066666666666666
mut_Y35F,2_3_BPG,25,-9.42,-0.246,-0.5,-0.33066666666666666
mut_Y35F,2_3_BPG,26,-8.83,-0.28,-0.42733333333333334,-0.33066666666666666
mut_Y35F,2_3_BPG,27,-8.5,-0.276,-0.41200000000000003,-0.33066666666666666
mut_Y35F,2_3_BPG,28,-8.98,-0.28,-0.43533333333333335,-0.33066666666666666
mut_Y35F,2_3_BPG,29,-8.64,-0.22533333333333333,-0.4706666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,30,-8.59,-0.278,-0.41533333333333333,-0.33066666666666666
mut_Y35F,2_3_BPG,31,-9.16,-0.24266666666666667,-0.4866666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,32,-8.57,-0.20933333333333334,-0.48,-0.33066666666666666
mut_Y35F,2_3_BPG,33,-8.69,-0.2793333333333333,-0.42,-0.33066666666666666
mut_Y35F,2_3_BPG,34,-8.81,-0.23733333333333334,-0.46799999999999997,-0.33066666666666666
mut_Y35F,2_3_BPG,35,-8.37,-0.22666666666666666,-0.45,-0.33066666666666666
mut_Y35F,2_3_BPG,36,-8.89,-0.2753333333333333,-0.43466666666666665,-0.33066666666666666
mut_Y35F,2_3_BPG,37,-9.66,-0.31666666666666665,-0.446,-0.33066666666666666
mut_Y35F,2_3_BPG,38,-9.97,-0.31,-0.47400000000000003,-0.33066666666666666
mut_Y35F,2_3_BPG,39,-9.0,-0.26866666666666666,-0.45066666666666666,-0.33066666666666666
mut_Y35F,2_3_BPG,40,-8.97,-0.25866666666666666,-0.45799999999999996,-0.33066666666666666
mut_Y35F,2_3_BPG,41,-8.75,-0.2793333333333333,-0.42533333333333334,-0.33066666666666666
mut_Y35F,2_3_BPG,42,-9.71,-0.30733333333333335,-0.45733333333333337,-0.33066666666666666
mut_Y35F,2_3_BPG,43,-8.71,-0.27,-0.43066666666666664,-0.33066666666666666
mut_Y35F,2_3_BPG,44,-8.96,-0.27266666666666667,-0.44533333333333336,-0.33066666666666666
mut_Y35F,2_3_BPG,45,-9.1,-0.3066666666666667,-0.42,-0.33066666666666666
mut_Y35F,2_3_BPG,46,-9.27,-0.248,-0.4866666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,47,-9.04,-0.24466666666666667,-0.476,-0.33066666666666666
mut_Y35F,2_3_BPG,48,-9.29,-0.25466666666666665,-0.4826666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,49,-8.75,-0.29,-0.4126666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,50,-8.88,-0.264,-0.44733333333333336,-0.33066666666666666
mut_Y35F,2_3_BPG,51,-8.77,-0.23866666666666667,-0.46399999999999997,-0.33066666666666666
mut_Y35F,2_3_BPG,52,-8.53,-0.252,-0.43733333333333335,-0.33066666666666666
mut_Y35F,2_3_BPG,53,-8.78,-0.2693333333333333,-0.4366666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,54,-9.94,-0.30133333333333334,-0.48000000000000004,-0.33066666666666666
mut_Y35F,2_3_BPG,55,-8.62,-0.24533333333333335,-0.448,-0.33066666666666666
mut_Y35F,2_3_BPG,56,-9.45,-0.266,-0.48333333333333334,-0.33066666666666666
mut_Y35F,2_3_BPG,57,-9.1,-0.278,-0.448,-0.33066666666666666
mut_Y35F,2_3_BPG,58,-7.96,-0.26466666666666666,-0.386,-0.33066666666666666
mut_Y35F,2_3_BPG,59,-8.79,-0.284,-0.422,-0.33066666666666666
mut_Y35F,2_3_BPG,60,-9.04,-0.298,-0.42466666666666664,-0.33066666666666666
mut_Y35F,2_3_BPG,61,-9.79,-0.28,-0.49133333333333334,-0.33066666666666666
mut_Y35F,2_3_BPG,62,-8.81,-0.2833333333333333,-0.424,-0.33066666666666666
mut_Y35F,2_3_BPG,63,-9.0,-0.27466666666666667,-0.44533333333333336,-0.33066666666666666
mut_Y35F,2_3_BPG,64,-10.07,-0.2986666666666667,-0.49133333333333334,-0.33066666666666666
mut_Y35F,2_3_BPG,65,-8.88,-0.272,-0.43933333333333335,-0.33066666666666666
mut_Y35F,2_3_BPG,66,-8.7,-0.2846666666666667,-0.41600000000000004,-0.33066666666666666
mut_Y35F,2_3_BPG,67,-8.52,-0.27066666666666667,-0.41666666666666663,-0.33066666666666666
mut_Y35F,2_3_BPG,68,-8.64,-0.21733333333333332,-0.4786666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,69,-10.11,-0.306,-0.48866666666666664,-0.33066666666666666
mut_Y35F,2_3_BPG,70,-9.43,-0.2593333333333333,-0.48733333333333334,-0.33066666666666666
mut_Y35F,2_3_BPG,71,-9.44,-0.24533333333333335,-0.504,-0.33066666666666666
mut_Y35F,2_3_BPG,72,-8.47,-0.29000000000000004,-0.39466666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,73,-9.31,-0.31,-0.4306666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,74,-9.01,-0.258,-0.46066666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,75,-9.83,-0.30066666666666664,-0.4746666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,76,-8.98,-0.29333333333333333,-0.4246666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,77,-10.08,-0.29333333333333333,-0.49733333333333335,-0.33066666666666666
mut_Y35F,2_3_BPG,78,-9.02,-0.2346666666666667,-0.48733333333333334,-0.33066666666666666
mut_Y35F,2_3_BPG,79,-9.19,-0.31333333333333335,-0.418,-0.33066666666666666
mut_Y35F,2_3_BPG,80,-9.88,-0.31466666666666665,-0.46066666666666667,-0.33066666666666666
mut_Y35F,2_3_BPG,81,-9.23,-0.23933333333333334,-0.496,-0.33066666666666666
mut_Y35F,2_3_BPG,82,-8.95,-0.268,-0.44733333333333336,-0.33066666666666666
mut_Y35F,2_3_BPG,83,-8.4,-0.23933333333333334,-0.44066666666666665,-0.33066666666666666
mut_Y35F,2_3_BPG,84,-8.88,-0.23866666666666667,-0.472,-0.33066666666666666
mut_Y35F,2_3_BPG,85,-8.92,-0.248,-0.46399999999999997,-0.33066666666666666
mut_Y35F,2_3_BPG,86,-9.09,-0.25466666666666665,-0.47000000000000003,-0.33066666666666666
mut_Y35F,2_3_BPG,87,-8.52,-0.26666666666666666,-0.42266666666666663,-0.33066666666666666
