"protein","ligand","N","mean_r","median_r","iqr_r"
"mut_Y35F","IHP",100,0.0190075637586228,0.0149077375778343,0.022291559090868
"mut_N102T","IHP",100,0.0180769319701831,0.0157187909172147,0.0162258727741732
"mut_K82N","IHP",100,0.0153462858704208,0.0145276891945856,0.0132204934993696
"mut_D99N","IHP",100,0.0195760365921916,0.0168057810077805,0.0160678933387548
"AncMH_nat","IHP",100,0.0202997210211057,0.0194094266906473,0.0150793442030884
"AncB","IHP",100,0.0196474676129886,0.0168041888158331,0.0174959787227198
"AncA","IHP",100,0.0163875520617482,0.0134624146422196,0.0146973550626642
"6BB5","IHP",100,0.018023090287552,0.0159666896932926,0.0160209526250509
"2DN3","IHP",100,0.0173411825722437,0.0136694007031138,0.0160604434603143
"1A3N","IHP",100,0.0195898127705822,0.0165974587068697,0.0159718112323144
