"protein","ligand","model_id","energy","cx","cy","cz"
"1A3N","2_3_BPG",1,-7.52,-0.214,-0.404666666666667,-0.330666666666667
"1A3N","2_3_BPG",2,-8.89,-0.239333333333333,-0.474,-0.330666666666667
"1A3N","2_3_BPG",3,-8.85,-0.304666666666667,-0.404666666666667,-0.330666666666667
"1A3N","2_3_BPG",4,-7.05,-0.138,-0.452,-0.330666666666667
"1A3N","2_3_BPG",5,-7.83,-0.224666666666667,-0.415333333333333,-0.330666666666667
"1A3N","2_3_BPG",6,-7.37,-0.199333333333333,-0.412,-0.330666666666667
"1A3N","2_3_BPG",7,-8.77,-0.266,-0.436666666666667,-0.330666666666667
"1A3N","2_3_BPG",8,-7.64,-0.212666666666667,-0.416,-0.330666666666667
"1A3N","2_3_BPG",9,-7.77,-0.226,-0.412,-0.330666666666667
"1A3N","2_3_BPG",10,-8.55,-0.388666666666667,-0.302,-0.330666666666667
"1A3N","2_3_BPG",11,-8.01,-0.256,-0.396,-0.330666666666667
"1A3N","2_3_BPG",12,-8.92,-0.222666666666667,-0.492,-0.330666666666667
"1A3N","2_3_BPG",13,-7.16,-0.223333333333333,-0.374666666666667,-0.330666666666667
"1A3N","2_3_BPG",14,-7.39,-0.229333333333333,-0.383333333333333,-0.330666666666667
"1A3N","2_3_BPG",15,-6.99,-0.177333333333333,-0.408666666666667,-0.330666666666667
"1A3N","2_3_BPG",16,-8.37,-0.247333333333333,-0.428666666666667,-0.330666666666667
"1A3N","2_3_BPG",17,-7.72,-0.184666666666667,-0.449333333333333,-0.330666666666667
"1A3N","2_3_BPG",18,-7.53,-0.244,-0.376,-0.330666666666667
"1A3N","2_3_BPG",19,-7.57,-0.192,-0.432666666666667,-0.330666666666667
"1A3N","2_3_BPG",20,-7.63,-0.197333333333333,-0.432,-0.330666666666667
"1A3N","2_3_BPG",21,-7.45,-0.190666666666667,-0.426,-0.330666666666667
"1A3N","2_3_BPG",22,-7.62,-0.213333333333333,-0.415333333333333,-0.330666666666667
"1A3N","2_3_BPG",23,-7.85,-0.231333333333333,-0.413333333333333,-0.330666666666667
"1A3N","2_3_BPG",24,-7.17,-0.215333333333333,-0.382666666666667,-0.330666666666667
"1A3N","2_3_BPG",25,-8.49,-0.208,-0.476,-0.330666666666667
"1A3N","2_3_BPG",26,-7.04,-0.219333333333333,-0.370666666666667,-0.330666666666667
"1A3N","2_3_BPG",27,-7.58,-0.209333333333333,-0.416666666666667,-0.330666666666667
"1A3N","2_3_BPG",28,-7.56,-0.220666666666667,-0.404,-0.330666666666667
"1A3N","2_3_BPG",29,-7.97,-0.235333333333333,-0.414666666666667,-0.330666666666667
"1A3N","2_3_BPG",30,-7.1,-0.222666666666667,-0.369333333333333,-0.330666666666667
"1A3N","2_3_BPG",31,-8.33,-0.233333333333333,-0.442666666666667,-0.330666666666667
"1A3N","2_3_BPG",32,-7.65,-0.206,-0.422666666666667,-0.330666666666667
"1A3N","2_3_BPG",33,-7.85,-0.226666666666667,-0.415333333333333,-0.330666666666667
"1A3N","2_3_BPG",34,-7.96,-0.224666666666667,-0.424666666666667,-0.330666666666667
"1A3N","2_3_BPG",35,-7.14,-0.170666666666667,-0.424666666666667,-0.330666666666667
"1A3N","2_3_BPG",36,-7.75,-0.216,-0.418,-0.330666666666667
"1A3N","2_3_BPG",37,-7.32,-0.194,-0.412,-0.330666666666667
"1A3N","2_3_BPG",38,-7.37,-0.202666666666667,-0.406666666666667,-0.330666666666667
"1A3N","2_3_BPG",39,-8,-0.176666666666667,-0.476,-0.330666666666667
"1A3N","2_3_BPG",40,-7.64,-0.208,-0.418666666666667,-0.330666666666667
"1A3N","2_3_BPG",41,-7.39,-0.236666666666667,-0.375333333333333,-0.330666666666667
"1A3N","2_3_BPG",42,-7.65,-0.217333333333333,-0.412,-0.330666666666667
"1A3N","2_3_BPG",43,-8.97,-0.281333333333333,-0.434666666666667,-0.330666666666667
"1A3N","2_3_BPG",44,-7.18,-0.233333333333333,-0.366,-0.330666666666667
"1A3N","2_3_BPG",45,-7.4,-0.234666666666667,-0.378,-0.330666666666667
"1A3N","2_3_BPG",46,-8.65,-0.273333333333333,-0.423333333333333,-0.330666666666667
"1A3N","2_3_BPG",47,-7.45,-0.21,-0.406,-0.330666666666667
"1A3N","2_3_BPG",48,-7.86,-0.222666666666667,-0.422,-0.330666666666667
"1A3N","2_3_BPG",49,-7.58,-0.242666666666667,-0.38,-0.330666666666667
"1A3N","2_3_BPG",50,-7.65,-0.189333333333333,-0.44,-0.330666666666667
"1A3N","2_3_BPG",51,-7.45,-0.228666666666667,-0.388666666666667,-0.330666666666667
"1A3N","2_3_BPG",52,-7.88,-0.236,-0.409333333333333,-0.330666666666667
"1A3N","2_3_BPG",53,-8.25,-0.260666666666667,-0.408666666666667,-0.330666666666667
"1A3N","2_3_BPG",54,-7.77,-0.234,-0.402,-0.330666666666667
"1A3N","2_3_BPG",55,-8.19,-0.248,-0.418,-0.330666666666667
"1A3N","2_3_BPG",56,-7.98,-0.228,-0.424,-0.330666666666667
"1A3N","2_3_BPG",57,-7.12,-0.219333333333333,-0.374666666666667,-0.330666666666667
"1A3N","2_3_BPG",58,-7.7,-0.219333333333333,-0.414666666666667,-0.330666666666667
"1A3N","2_3_BPG",59,-7.29,-0.216666666666667,-0.39,-0.330666666666667
