"protein","ligand","model_id","energy","cx","cy","cz"
"mut_K82N","2_3_BPG",1,-6.14,-0.168666666666667,-0.360666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",2,-6.63,-0.260666666666667,-0.300666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",3,-6.3,-0.264666666666667,-0.272666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",4,-6.14,-0.177333333333333,-0.350666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",5,-6.01,-0.161333333333333,-0.358666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",6,-6.26,-0.164666666666667,-0.372666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",7,-6.94,-0.284,-0.3,-0.330666666666667
"mut_K82N","2_3_BPG",8,-5.97,-0.136666666666667,-0.378666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",9,-6.17,-0.148666666666667,-0.382,-0.330666666666667
"mut_K82N","2_3_BPG",10,-6.19,-0.164,-0.367333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",11,-5.94,-0.206,-0.309333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",12,-6.55,-0.234666666666667,-0.32,-0.330666666666667
"mut_K82N","2_3_BPG",13,-6.26,-0.267333333333333,-0.268,-0.330666666666667
"mut_K82N","2_3_BPG",14,-6.15,-0.182,-0.346666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",15,-6.25,-0.168666666666667,-0.366666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",16,-7,-0.257333333333333,-0.327333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",17,-5.98,-0.134666666666667,-0.381333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",18,-6.18,-0.166,-0.366,-0.330666666666667
"mut_K82N","2_3_BPG",19,-5.86,-0.176666666666667,-0.332,-0.330666666666667
"mut_K82N","2_3_BPG",20,-6.16,-0.18,-0.351333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",21,-6.49,-0.260666666666667,-0.289333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",22,-5.58,-0.25,-0.243333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",23,-6.16,-0.179333333333333,-0.350666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",24,-6.21,-0.176,-0.356,-0.330666666666667
"mut_K82N","2_3_BPG",25,-6.91,-0.275333333333333,-0.305333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",26,-6.01,-0.151333333333333,-0.369333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",27,-5.94,-0.159333333333333,-0.356666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",28,-6.78,-0.28,-0.29,-0.330666666666667
"mut_K82N","2_3_BPG",29,-6.69,-0.253333333333333,-0.313333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",30,-6.73,-0.28,-0.287333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",31,-6.26,-0.169333333333333,-0.366666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",32,-6.13,-0.178,-0.351333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",33,-6.07,-0.161333333333333,-0.362666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",34,-6.2,-0.173333333333333,-0.357333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",35,-5.9,-0.164,-0.348,-0.330666666666667
"mut_K82N","2_3_BPG",36,-6.13,-0.186,-0.342,-0.330666666666667
"mut_K82N","2_3_BPG",37,-6,-0.275333333333333,-0.242666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",38,-6.28,-0.172,-0.366666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",39,-5.89,-0.166,-0.345333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",40,-6.08,-0.174,-0.35,-0.330666666666667
"mut_K82N","2_3_BPG",41,-6.59,-0.286666666666667,-0.272666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",42,-6.1,-0.182666666666667,-0.344666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",43,-6.07,-0.174666666666667,-0.350666666666667,-0.330666666666667
