protein,ligand,N,mean_r,median_r,iqr_r
mut_Y35F,2_3_BPG,100,0.03246504918135461,0.03302352284641072,0.0245145891505315
mut_Y35F,heme,100,0.018945987680214407,0.017418579616369438,0.016083848060909352
mut_Y35F,heme_Co,100,0.02579714475933591,0.02585785600834762,0.01892413678211629
mut_Y35F,heme_Fe,100,0.03996391609275989,0.03422636748397119,0.028466059910550064
mut_Y35F,heme_O2,100,0.03033836375241676,0.027432417593321247,0.019788779657871285
mut_Y35F,IHP,100,0.01900756375862284,0.014907737577834347,0.022291559090867996
mut_N102T,2_3_BPG,100,0.037572577916888915,0.025899493373487698,0.04715876963123517
mut_N102T,heme,100,0.017501150720277886,0.01456932808459368,0.013833431606988059
mut_N102T,heme_Co,100,0.02949935625847964,0.029764712872202073,0.0189976754293827
mut_N102T,heme_Fe,100,0.03528654431450009,0.03290651718464968,0.013731291671716352
mut_N102T,heme_O2,100,0.030841442053353787,0.031884448708174834,0.017948303403878305
mut_N102T,IHP,100,0.01807693197018306,0.01571879091721473,0.016225872774173172
mut_K82N,2_3_BPG,100,0.05159463775731896,0.0424717300956519,0.0425538980389491
mut_K82N,heme,100,0.015833669609058267,0.013025263465468832,0.013290366571162183
mut_K82N,heme_Co,100,0.027301868926152457,0.026616625584829273,0.013999675771697407
mut_K82N,heme_Fe,100,0.03189719289623962,0.026511110262091922,0.020867949255330358
mut_K82N,heme_O2,100,0.03015655589661357,0.026806002308064777,0.012956528358822633
mut_K82N,IHP,100,0.015346285870420799,0.014527689194585598,0.01322049349936958
mut_D99N,2_3_BPG,100,0.042649517387118974,0.041502395067333386,0.04155381147247573
mut_D99N,heme,100,0.018261647953789394,0.01627629689227393,0.016647304208810842
mut_D99N,heme_Co,100,0.025209482861334453,0.022867579358980893,0.017517771467279317
mut_D99N,heme_Fe,100,0.0692915786385198,0.07044749511187398,0.01784263959069697
mut_D99N,heme_O2,100,0.0370357046124376,0.028936849102489375,0.02502193734823229
mut_D99N,IHP,100,0.01957603659219159,0.016805781007780473,0.016067893338754795
AncMH_nat,2_3_BPG,100,0.032361408932967135,0.02709892059977191,0.024763367922848025
AncMH_nat,heme,100,0.016545877799803408,0.015679720203493355,0.011432189476568861
AncMH_nat,heme_Co,100,0.02737999916734031,0.01955042897015902,0.02101397277521052
AncMH_nat,heme_Fe,100,0.024758491109787218,0.013618975958082893,0.03027106247737072
AncMH_nat,heme_O2,100,0.06287204320754802,0.06523889434124622,0.06248593206425823
AncMH_nat,IHP,100,0.020299721021105697,0.01940942669064732,0.015079344203088383
AncB,2_3_BPG,100,0.05681346797040127,0.04318017721755833,0.03712231818569217
AncB,heme,100,0.017730707097634555,0.015248572128514368,0.016236409705345053
AncB,heme_Co,100,0.02679611583770689,0.023961691584514323,0.01679864754160306
AncB,heme_Fe,100,0.06106925281673418,0.05850252616370991,0.016117423688073583
AncB,heme_O2,100,0.08853268611766661,0.09987952826845076,0.0540796023363749
AncB,IHP,100,0.019647467612988558,0.016804188815833145,0.017495978722719775
AncA,2_3_BPG,100,0.031807759183217744,0.030207688154814664,0.026705983130028973
AncA,heme,100,0.020680993007270547,0.017509713659724653,0.01927876193364394
AncA,heme_Co,100,0.024252950831164376,0.020625350446114597,0.011772122867188619
AncA,heme_Fe,100,0.054083170310703726,0.04576130523624662,0.025554159198265605
AncA,heme_O2,100,0.05308850669088719,0.04050206295750659,0.03977396909025472
AncA,IHP,100,0.016387552061748155,0.013462414642219644,0.014697355062664211
6BB5,2_3_BPG,100,0.022285973334969317,0.020424484078805052,0.015075972575679166
6BB5,heme,100,0.017560368844724374,0.015498526038423922,0.017706765331115645
6BB5,heme_Co,100,0.05654517121004211,0.04730117162813598,0.0413277950472817
6BB5,heme_Fe,100,0.05091190585674793,0.040634104201847494,0.02089339772979322
6BB5,heme_O2,100,0.06379894232634749,0.04403169966721479,0.01969150051876782
6BB5,IHP,100,0.018023090287551988,0.01596668969329258,0.0160209526250509
2DN3,2_3_BPG,100,0.02998628193526229,0.023413175740387954,0.02215215411100517
2DN3,heme,100,0.01895333784659791,0.01664472242881646,0.01955797111089818
2DN3,heme_Co,100,0.0725184951012535,0.06426987484138168,0.04965841343631984
2DN3,heme_Fe,100,0.05618678462768188,0.04781138981027176,0.02750961864174782
2DN3,heme_O2,100,0.07815218280488141,0.07021836887008381,0.037889084752091
2DN3,IHP,100,0.017341182572243662,0.013669400703113795,0.016060443460314357
1A3N,2_3_BPG,100,0.03797685462459561,0.03263103459912223,0.034553516551698936
1A3N,heme,100,0.027117480698738445,0.025018801629840146,0.023543440677907278
1A3N,heme_Co,100,0.034586867356786205,0.027195202579494093,0.026186300629111644
1A3N,heme_Fe,100,0.03209975160535759,0.02232989941502677,0.013697077070010406
1A3N,heme_O2,100,0.039824761859251635,0.037829342079594916,0.018770033641722042
1A3N,IHP,100,0.019589812770582242,0.016597458706869708,0.015971811232314444
